"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","additemToCartTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.AdditemToCartTest","Test","SauceTest.AdditemToCartTest","additemToCartTest"
"","1","loginTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","loginTest"
"","0","CheckoutTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.CheckoutPageTest","Test","SauceTest.CheckoutPageTest","CheckoutTest"
"","496","loginTest","Suite","2026-02-28","passed","2026-02-28","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","loginTest"
"","0","additemToCartTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.AdditemToCartTest","Test","SauceTest.AdditemToCartTest","additemToCartTest"
"","20383","CheckoutTest","Suite","2026-02-28","broken","2026-02-28","SauceTest.CheckoutPageTest","Test","SauceTest.CheckoutPageTest","CheckoutTest"
"","477","logintest","Suite","2026-02-27","passed","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","logintest"
"","1","setUp","Suite","2026-02-27","broken","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","setUp"
"","1","setUp","Suite","2026-02-27","broken","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","setUp"
"","0","additemToCartTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.AdditemToCartTest","Test","SauceTest.AdditemToCartTest","additemToCartTest"
"","0","CheckoutTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.CheckoutPageTest","Test","SauceTest.CheckoutPageTest","CheckoutTest"
"","0","CheckoutTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.CheckoutPageTest","Test","SauceTest.CheckoutPageTest","CheckoutTest"
"","3","setUp","Suite","2026-02-27","broken","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","setUp"
"","1","loginTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","loginTest"
"","264","additemToCartTest","Suite","2026-02-28","passed","2026-02-28","SauceTest.AdditemToCartTest","Test","SauceTest.AdditemToCartTest","additemToCartTest"
"","1","loginTest","Suite","2026-02-27","skipped","2026-02-27","SauceTest.LoginPageTest","Test","SauceTest.LoginPageTest","loginTest"
